family,scenario,seed,n_communities,modularity,ari,pair_agreement,evaluated_nodes,changed_component,multiplier,top20_size,top20_overlap,top20_overlap_fraction,top20_jaccard,weight_role,weight_reach,weight_volume,weight_pagerank,weight_patterns
louvain,louvain_seed_42,42,48,0.791600887956,1,1,2229,,,,,,,,,,,
louvain,louvain_seed_43,43,43,0.789925521014,0.677527338056,0.968852316413,2229,,,,,,,,,,,
louvain,louvain_seed_44,44,49,0.78661953593,0.675874233759,0.9691245561,2229,,,,,,,,,,,
louvain,louvain_seed_45,45,45,0.789711038851,0.689551081809,0.969780992032,2229,,,,,,,,,,,
louvain,louvain_seed_46,46,49,0.792544696335,0.670717484075,0.96882613952,2229,,,,,,,,,,,
priority,priority_baseline,,,,,,,none,1,20,20,1,1,0.3,0.25,0.2,0.15,0.1
priority,priority_role_minus20,,,,,,,role,0.8,20,18,0.9,0.818181818182,0.255319148936,0.265957446809,0.212765957447,0.159574468085,0.106382978723
priority,priority_role_plus20,,,,,,,role,1.2,20,20,1,1,0.339622641509,0.235849056604,0.188679245283,0.141509433962,0.0943396226415
priority,priority_reach_minus20,,,,,,,reach,0.8,20,19,0.95,0.904761904762,0.315789473684,0.210526315789,0.210526315789,0.157894736842,0.105263157895
priority,priority_reach_plus20,,,,,,,reach,1.2,20,20,1,1,0.285714285714,0.285714285714,0.190476190476,0.142857142857,0.0952380952381
priority,priority_volume_minus20,,,,,,,volume,0.8,20,20,1,1,0.3125,0.260416666667,0.166666666667,0.15625,0.104166666667
priority,priority_volume_plus20,,,,,,,volume,1.2,20,20,1,1,0.288461538462,0.240384615385,0.230769230769,0.144230769231,0.0961538461538
priority,priority_pagerank_minus20,,,,,,,pagerank,0.8,20,20,1,1,0.309278350515,0.257731958763,0.20618556701,0.123711340206,0.103092783505
priority,priority_pagerank_plus20,,,,,,,pagerank,1.2,20,19,0.95,0.904761904762,0.291262135922,0.242718446602,0.194174757282,0.174757281553,0.0970873786408
priority,priority_patterns_minus20,,,,,,,patterns,0.8,20,20,1,1,0.30612244898,0.255102040816,0.204081632653,0.15306122449,0.0816326530612
priority,priority_patterns_plus20,,,,,,,patterns,1.2,20,19,0.95,0.904761904762,0.294117647059,0.245098039216,0.196078431373,0.147058823529,0.117647058824
