removed_n,removed_gids,baseline_seed_target_pairs,remaining_seed_target_pairs,lost_pair_share,removed_consolidators,lost_pairs_to_surviving_targets,seeds_losing_all_targets,weak_components_remaining
0,none,391,391,0,0,0,0,35
5,100000000331309100;100000008603629100;100000000437046100;100000008346837100;100000003115284100,391,204,0.478260869565,5,148,1,149
10,100000000331309100;100000008603629100;100000000437046100;100000008346837100;100000003115284100;100000008477350100;100000001857829100;100000008547948100;100000002957787100;100000005704413100,391,191,0.511508951407,8,139,1,213
20,100000000331309100;100000008603629100;100000000437046100;100000008346837100;100000003115284100;100000008477350100;100000001857829100;100000008547948100;100000002957787100;100000005704413100;100000007055802100;100000004299488100;100000004400305100;100000007442518100;100000004156082100;100000004015047100;100000007594394100;100000008165763100;100000005910114100;100000002718366100,391,85,0.782608695652,17,172,3,294
